accuracy,precision,recall,f1,roc_auc,bootstrap
0.8694285714285712,0.8809639249639248,0.9025,0.8851048813587512,0.9469940476190476,79
0.7697142857142858,0.8069502164502164,0.8,0.7938239509028981,0.8999107142857143,80
0.7887619047619048,0.809124431124431,0.85,0.8200601276948025,0.9030059523809524,81
0.8596190476190476,0.8717287157287157,0.8975,0.8775105183773916,0.9572321428571428,82
0.8026666666666665,0.8277929292929294,0.84,0.8247041604766062,0.9107440476190475,83
0.8065714285714286,0.8239242424242424,0.855,0.8307096719929536,0.9124702380952382,84
0.8022857142857143,0.8003354978354978,0.88,0.8322783674873458,0.922142857142857,85
0.8004761904761906,0.8206046176046174,0.855,0.8264178621516082,0.8937797619047619,86
0.8234285714285713,0.8497958152958153,0.85,0.8431781660032434,0.9239583333333334,87
0.8396190476190476,0.8547077922077922,0.88,0.8571271561256082,0.9503571428571429,88
0.7932380952380952,0.8254058164058162,0.83,0.8167974347633791,0.8923809523809523,89
0.7988571428571428,0.8106774891774892,0.865,0.8297791556568644,0.9124404761904762,90
0.8212380952380953,0.859553391053391,0.835,0.8394442384241145,0.9316369047619049,91
0.8111428571428572,0.8408997113997114,0.84,0.8300376487977107,0.9122916666666666,92
0.8264761904761906,0.9106911976911977,0.7875,0.8321161092089884,0.9242559523809523,93
0.830095238095238,0.8414819624819624,0.8725,0.8507720772519534,0.9229166666666667,94
0.7892380952380953,0.798526973026973,0.8625,0.8191829933052841,0.9035714285714288,95
0.8216190476190477,0.8384321789321789,0.8625,0.843501670843776,0.9298214285714286,96
0.7936190476190477,0.838321067821068,0.8075,0.8104834407078989,0.9159821428571427,97
0.7543809523809523,0.7658823953823953,0.8325,0.7900179653507827,0.8698809523809524,98
0.820190476190476,0.8755555555555555,0.8125,0.832515497574321,0.9248511904761905,99
0.7768571428571428,0.7911388611388611,0.8475,0.8101188037968224,0.8835416666666667,100
0.8376190476190476,0.8685259740259741,0.8625,0.8551339302252613,0.9448511904761904,101
0.7968571428571428,0.8126536796536797,0.86,0.8250430072163819,0.9185416666666667,102
0.8601904761904762,0.8705187590187591,0.8975,0.8774608334561894,0.9503869047619048,103
0.7797142857142858,0.8002626262626262,0.8225,0.8047841738584773,0.8924107142857145,104
0.8591428571428571,0.859165945165945,0.91,0.8778249318620834,0.9402678571428572,105
0.8095238095238096,0.828093795093795,0.8525,0.8312524561781527,0.9285714285714285,106
0.7647619047619046,0.800112887112887,0.8025,0.791254633567327,0.8935416666666667,107
0.8629523809523809,0.8854300144300143,0.88,0.8756219848263191,0.9421130952380953,108
0.8252380952380952,0.8455764235764235,0.8725,0.8511978967025406,0.9303273809523809,109
0.8325714285714284,0.8504105339105338,0.8625,0.8495139073173128,0.9225000000000001,110
0.7943809523809524,0.8098430458430457,0.855,0.8225828674249728,0.8894940476190476,111
0.7586666666666667,0.7831103896103896,0.805,0.7875242877177862,0.8794642857142858,112
0.8915238095238095,0.8881742146742146,0.94,0.9085884072927416,0.9515476190476191,113
0.7891428571428571,0.7994822954822953,0.8675,0.8181723848906511,0.9224404761904763,114
0.8481904761904763,0.8527936507936508,0.9025,0.8702127415068591,0.9461607142857144,115
0.7813333333333332,0.8080180375180375,0.825,0.8090399773944666,0.9013392857142858,116
0.8584761904761905,0.8842337662337661,0.875,0.8742276278932625,0.9404464285714286,117
0.8076190476190476,0.8324920634920633,0.85,0.8277726865497762,0.930327380952381,118
0.8282857142857144,0.828553724053724,0.8975,0.8549878863826232,0.9299404761904762,119
0.8154285714285714,0.8374415584415584,0.855,0.8388780284043442,0.9337797619047619,120
0.8355238095238094,0.8634826839826837,0.8475,0.8473620949054386,0.9258928571428571,121
0.8215238095238095,0.8402496392496392,0.865,0.8424394356933056,0.9198809523809522,122
0.784952380952381,0.8180007215007216,0.81,0.801707827947766,0.9046130952380953,123
0.7669523809523809,0.7968290043290045,0.8025,0.7916927027221144,0.8522619047619048,124
0.838,0.8610526695526696,0.865,0.8552305934519556,0.9283630952380952,125
0.8204761904761904,0.8196616161616161,0.8975,0.8492250252327651,0.9351785714285715,126
0.8044761904761902,0.8276782106782108,0.84,0.8254848282092864,0.9087202380952383,127
0.7984761904761905,0.8201637806637805,0.8375,0.8218925008599931,0.9020238095238093,128
0.800952380952381,0.8188412698412698,0.8425,0.8245545500251381,0.8912202380952382,129
0.8045714285714286,0.8305238095238094,0.835,0.8256527858106805,0.9283928571428571,130
0.7324761904761904,0.7870411255411254,0.74,0.7494149532957581,0.8539285714285713,131
0.8206666666666668,0.8490461760461758,0.8575,0.8416508616942052,0.9204464285714284,132
0.8157142857142857,0.8234487734487733,0.875,0.8390501744557471,0.931875,133
0.7945714285714286,0.8122691197691198,0.8425,0.8213076677364601,0.9116369047619048,134
0.8336190476190477,0.8478044733044732,0.885,0.8569145431451932,0.9357738095238096,135
0.7707619047619046,0.8062330447330447,0.8075,0.795641235441545,0.8964285714285716,136
0.7854285714285715,0.8148477633477633,0.815,0.806594803373441,0.9098809523809525,137
0.7684761904761903,0.794492784992785,0.8125,0.7951292692515602,0.8922619047619048,138
0.8403809523809523,0.8631385281385281,0.87,0.8584568170048046,0.9253571428571429,139
0.8425714285714284,0.8652294372294372,0.88,0.8628239263316663,0.9446130952380952,140
0.8112380952380953,0.8375750360750362,0.8375,0.8295446213573148,0.9196428571428571,141
0.8143809523809524,0.8537532467532468,0.83,0.8300843322484188,0.9182440476190475,142
0.8600952380952381,0.8450097125097125,0.9375,0.883956386063197,0.9473214285714286,143
0.7959999999999999,0.8065043845043844,0.87,0.8284976165904958,0.9058035714285715,144
0.7809523809523808,0.7797178932178932,0.87,0.816736227824463,0.8967857142857143,145
0.8213333333333334,0.8374105339105339,0.8575,0.8413933154908386,0.9168154761904762,146
0.8045714285714286,0.8380692640692641,0.835,0.8278916446470626,0.9160714285714286,147
0.7983809523809523,0.8067424242424243,0.8675,0.8287175045456778,0.925952380952381,148
0.7958095238095236,0.8329135309135307,0.825,0.8178758812566861,0.8940476190476191,149
0.8200952380952381,0.835732323232323,0.8575,0.8399965316760981,0.9099107142857145,150
0.8169523809523809,0.8405454545454546,0.8475,0.8360075809982931,0.9196428571428571,151
0.812095238095238,0.8289199134199133,0.8675,0.836535015895697,0.9255357142857145,152
0.7921904761904763,0.8456955266955268,0.795,0.807064018197145,0.9052083333333334,153
