Feature_Name,Frequency,Mean_Importance,max_features
Edge68,47,0.03265663649556455,10
Edge80,41,0.0469576012974733,10
Edge70,41,0.020647121508713437,10
Edge74,39,0.045726498086207816,10
Edge201,39,0.041968318993138555,10
Edge76,38,0.03586820363941992,10
Edge21,38,0.028896006662651533,10
Edge171,38,0.024747423793228848,10
Edge116,36,0.05184943317004946,10
Edge266,33,0.02709351568707607,10
Edge260,32,0.041052597756490894,10
Edge39,32,0.033277011203263235,10
Edge4,30,0.055903075155097244,10
Edge152,28,0.026627986546653475,10
Edge101,26,0.021181875812624356,10
Edge323,50,0.04684188880987301,11
Edge204,47,0.0501010596411322,11
Edge232,47,0.04464068116723529,11
Edge68,47,0.0339340120077222,11
Edge80,41,0.04735199477875565,11
Edge70,41,0.022363365171568186,11
Edge74,39,0.04749918716058619,11
Edge201,39,0.040421010510605364,11
Edge76,38,0.0372929678960502,11
Edge21,38,0.0277310492132207,11
Edge171,38,0.025984498705833144,11
Edge116,36,0.04853325220971394,11
Edge266,33,0.02766806183231369,11
Edge260,32,0.04111778452723864,11
Edge39,32,0.032469337380668886,11
Edge4,30,0.05374386298054078,11
Edge152,28,0.02547666990607722,11
Edge101,26,0.02197896218563587,11
Edge323,50,0.05022827925736312,12
Edge204,47,0.04959176903712859,12
Edge232,47,0.04344041768872513,12
Edge68,47,0.033934268650470105,12
Edge80,41,0.04711399940453103,12
Edge70,41,0.02153064331170268,12
Edge74,39,0.047291903911001,12
Edge201,39,0.04183679012353837,12
Edge76,38,0.034724787320282655,12
Edge21,38,0.02673930817868535,12
Edge171,38,0.024892766433921642,12
Edge116,36,0.052043799807629375,12
Edge266,33,0.026349051445466,12
Edge260,32,0.04232230628148119,12
Edge39,32,0.033207670778340734,12
Edge4,30,0.054305576643782306,12
Edge152,28,0.02535549998624715,12
Edge101,26,0.022997062429048205,12
Edge323,50,0.04817282716405598,13
Edge204,47,0.049907261674998635,13
Edge232,47,0.04233004543152559,13
Edge68,47,0.03242527108004454,13
Edge80,41,0.04793444066820001,13
Edge70,41,0.020907960284736696,13
Edge74,39,0.047208263066192406,13
Edge201,39,0.04214863332902836,13
Edge76,38,0.03556429331014554,13
Edge21,38,0.027637818664725453,13
Edge171,38,0.02426330421158673,13
Edge116,36,0.05468060402147293,13
Edge266,33,0.02687553928637823,13
Edge260,32,0.0438761533233571,13
Edge39,32,0.03450875121152909,13
Edge4,30,0.05353071348024738,13
Edge152,28,0.023295450556715086,13
Edge101,26,0.02170637318183328,13
Edge323,50,0.046842472973936004,14
Edge204,47,0.04991555265104718,14
Edge232,47,0.04294733154232613,14
Edge68,47,0.03474439623043674,14
Edge80,41,0.05098186522566798,14
Edge70,41,0.020474221491091515,14
Edge74,39,0.04637231415700317,14
Edge201,39,0.03937792222724411,14
Edge76,38,0.0367755964172136,14
Edge21,38,0.027525257808970374,14
Edge171,38,0.02356210248114638,14
Edge116,36,0.05464987233673972,14
Edge266,33,0.02784460897450584,14
Edge260,32,0.04196493987831876,14
Edge39,32,0.032546572175920344,14
Edge4,30,0.05424979257440165,14
Edge152,28,0.025777251841555025,14
Edge101,26,0.022998635346920322,14
Edge323,50,0.047935337642048347,15
Edge204,47,0.05016530204035253,15
Edge232,47,0.04240147124475519,15
Edge68,47,0.03556703704394942,15
Edge80,41,0.04908453873776326,15
Edge70,41,0.021656968205908744,15
Edge74,39,0.046568526472150026,15
Edge201,39,0.04033186719879778,15
Edge76,38,0.0359789989703456,15
Edge171,38,0.0247085422346326,15
Edge21,38,0.024694957724423303,15
Edge116,36,0.053330026002949824,15
Edge266,33,0.02760207570233542,15
Edge260,32,0.0462047033428543,15
Edge39,32,0.030992574547026298,15
Edge4,30,0.05762919452896251,15
Edge152,28,0.02561348517699985,15
Edge101,26,0.022724715678005693,15
Edge323,50,0.0483719154207006,16
Edge204,47,0.05090109128947959,16
Edge232,47,0.04320841588665099,16
Edge68,47,0.03503011471234451,16
Edge80,41,0.04933213495778025,16
Edge70,41,0.020308165316274093,16
Edge74,39,0.04716114371972014,16
Edge201,39,0.04113254170807131,16
Edge76,38,0.036239859854042676,16
Edge21,38,0.026008431149518407,16
Edge171,38,0.02511974031293492,16
Edge116,36,0.0520816950818361,16
Edge266,33,0.02517058751338367,16
Edge260,32,0.04447623360977005,16
Edge39,32,0.03276775325801107,16
Edge4,30,0.05617884059540371,16
Edge152,28,0.025040080770258596,16
Edge101,26,0.02159356843863072,16
Edge323,50,0.049199148159503554,17
Edge204,47,0.05436450156245921,17
Edge232,47,0.04523172887924355,17
Edge68,47,0.03468943658752791,17
Edge80,41,0.04796418268504819,17
Edge70,41,0.020240633395112576,17
Edge74,39,0.04913925609000375,17
Edge201,39,0.040488495254522604,17
Edge76,38,0.03495984700921196,17
Edge21,38,0.025385808270829643,17
Edge171,38,0.02515179385134211,17
Edge116,36,0.05503993428453214,17
Edge266,33,0.024620459658760287,17
Edge260,32,0.04469023760235781,17
Edge39,32,0.03105807501723577,17
Edge4,30,0.059057636773766194,17
Edge152,28,0.02249707606069284,17
Edge101,26,0.02149048089635782,17
Edge323,50,0.050256836875146885,18
Edge204,47,0.05380242533831921,18
Edge232,47,0.04352984667887538,18
Edge68,47,0.035600068031968614,18
Edge80,41,0.04790253527555773,18
Edge70,41,0.021081723308531142,18
Edge74,39,0.05020782776589145,18
Edge201,39,0.04190426685950916,18
Edge76,38,0.036004390554458754,18
Edge21,38,0.025186187935940012,18
Edge171,38,0.023941793226916502,18
Edge116,36,0.051706210092319856,18
Edge266,33,0.026461967068068054,18
Edge260,32,0.04532925146107628,18
Edge39,32,0.03274174984573646,18
Edge4,30,0.05688442265537444,18
Edge152,28,0.025008664640456306,18
Edge101,26,0.02118940064041678,18
Edge323,50,0.04656329588259203,19
Edge204,47,0.05389975024940135,19
Edge232,47,0.04471245674626413,19
Edge68,47,0.033759720221708464,19
Edge80,41,0.047614173517376665,19
Edge70,41,0.01961692016347967,19
Edge74,39,0.049473364174080874,19
Edge201,39,0.04073481224466039,19
Edge76,38,0.035008275020645435,19
Edge21,38,0.02888643555541606,19
Edge171,38,0.024943823513527134,19
Edge116,36,0.05454427289130728,19
Edge266,33,0.026240428901546948,19
Edge260,32,0.045596720008045356,19
Edge39,32,0.03193516952200967,19
Edge4,30,0.05830473383913839,19
Edge152,28,0.023878352610177064,19
Edge101,26,0.02033128168839208,19
Edge323,50,0.048840211264219675,20
Edge204,47,0.053433465211892635,20
Edge232,47,0.044373412120156996,20
Edge68,47,0.03300001957521665,20
Edge80,41,0.0480267441714939,20
Edge70,41,0.02061509568548591,20
Edge74,39,0.05043106197589485,20
Edge201,39,0.04269463069599362,20
Edge76,38,0.03538985574742398,20
Edge21,38,0.0257270063347678,20
Edge171,38,0.0256980369495995,20
Edge116,36,0.053809293590705125,20
Edge266,33,0.026656325185006942,20
Edge260,32,0.04394565276370989,20
Edge39,32,0.03113136683354223,20
Edge4,30,0.05963613733721081,20
Edge152,28,0.024726347152660255,20
Edge101,26,0.0209597167619136,20
Edge323,50,0.04847429733799038,21
Edge204,47,0.05433666380844064,21
Edge232,47,0.04500201977005035,21
Edge68,47,0.03250054951835737,21
Edge80,41,0.04863302045309612,21
Edge70,41,0.02041021809271528,21
Edge74,39,0.052514571380547326,21
Edge201,39,0.04094140478469795,21
Edge76,38,0.03498846088746392,21
Edge21,38,0.025530022023443174,21
Edge171,38,0.02357839618756725,21
Edge116,36,0.05320520953915828,21
Edge266,33,0.027639552385819367,21
Edge260,32,0.04451239966919737,21
Edge39,32,0.030587716106041295,21
Edge4,30,0.05914115499775501,21
Edge152,28,0.022928160636358334,21
Edge101,26,0.020976384432529745,21
Edge323,50,0.04737608394276549,22
Edge204,47,0.0552110640262033,22
Edge232,47,0.042197892737267054,22
Edge68,47,0.03329040789028431,22
Edge80,41,0.0479775374503857,22
Edge70,41,0.019219869489783638,22
Edge74,39,0.05302935580558339,22
Edge201,39,0.041782291911357475,22
Edge76,38,0.03435995991718142,22
Edge21,38,0.023764290242035267,22
Edge171,38,0.023038815973721555,22
Edge116,36,0.054017794379112076,22
Edge266,33,0.02713939903008323,22
Edge260,32,0.046776658313752086,22
Edge39,32,0.03109127060777039,22
Edge4,30,0.06229206844079209,22
Edge152,28,0.022962940994686428,22
Edge101,26,0.020458221277215007,22
Edge323,50,0.046647773670816156,23
Edge204,47,0.05484226789984826,23
Edge232,47,0.042963088281564296,23
Edge68,47,0.03337263207705337,23
Edge80,41,0.04819725593727061,23
Edge70,41,0.01878107681918603,23
Edge74,39,0.05100086887027985,23
Edge201,39,0.042219115611532305,23
Edge76,38,0.035046695795058036,23
Edge21,38,0.02566626875624872,23
Edge171,38,0.022197590317300234,23
Edge116,36,0.05302719076820103,23
Edge266,33,0.02635361085339948,23
Edge260,32,0.046234992990958734,23
Edge39,32,0.03279320040285498,23
Edge4,30,0.06257109341162699,23
Edge152,28,0.02244367910565614,23
Edge101,26,0.02137267893335545,23
Edge323,50,0.04768171045725355,24
Edge204,47,0.054315974853256746,24
Edge232,47,0.044378820490219587,24
Edge68,47,0.03425815974458375,24
Edge80,41,0.049413053052007244,24
Edge70,41,0.018628021348755,24
Edge74,39,0.05164881092919512,24
Edge201,39,0.041183890885482785,24
Edge76,38,0.03585551117002334,24
Edge21,38,0.024437211713198233,24
Edge171,38,0.024192789631411457,24
Edge116,36,0.052857564775424755,24
Edge266,33,0.025797798588518113,24
Edge260,32,0.04565232829615982,24
Edge39,32,0.03338104625073643,24
Edge4,30,0.059925269993870864,24
Edge152,28,0.021001041777844762,24
Edge101,26,0.022118132587978605,24
Edge323,50,0.04873070186086577,25
Edge204,47,0.05465364119946179,25
Edge232,47,0.04443922459297571,25
Edge68,47,0.03405901250204248,25
Edge80,41,0.04837955407592419,25
Edge70,41,0.019808621562787027,25
Edge74,39,0.050638836532876104,25
Edge201,39,0.04224788169395556,25
Edge76,38,0.03639563244196181,25
Edge21,38,0.024467156339904504,25
Edge171,38,0.023724114156441312,25
Edge116,36,0.05264323483119912,25
Edge266,33,0.025788627905192346,25
Edge260,32,0.045870840400546176,25
Edge39,32,0.03400169549071798,25
Edge4,30,0.06004761192223552,25
Edge152,28,0.021780315183974438,25
Edge101,26,0.021870685455686233,25
Edge323,50,0.047674918602835695,26
Edge204,47,0.05386541668802361,26
Edge232,47,0.043424746133729236,26
