Feature_Name,Mean_Importance,Std_Importance,Min_Importance,Max_Importance,max_features
Edge119,0.020999222763486387,,0.020999222763486387,0.020999222763486387,10
Edge224,0.020948693013965243,0.0003260115376374071,0.02071816804495678,0.02117921798297371,10
Edge237,0.020690023865656895,,0.020690023865656895,0.020690023865656895,10
Edge15,0.02066605291902718,,0.02066605291902718,0.02066605291902718,10
Edge70,0.020647121508713437,0.00841741390960766,0.008468579321294835,0.05283876344466457,10
Edge197,0.020568879637746156,,0.020568879637746156,0.020568879637746156,10
Edge258,0.020474234395141854,,0.020474234395141854,0.020474234395141854,10
Edge127,0.02034227720965435,0.0060506620854543875,0.01214832933755236,0.027952316449539903,10
Edge92,0.020252774685119514,,0.020252774685119514,0.020252774685119514,10
Edge320,0.020087173357637194,0.004933573985419186,0.012786980282125136,0.025415787529981353,10
Edge163,0.019856362678404717,,0.019856362678404717,0.019856362678404717,10
Edge22,0.01985326577300957,,0.01985326577300957,0.01985326577300957,10
Edge263,0.01960666774674323,0.010173352222342712,0.010818325620871993,0.03402643833730022,10
Edge132,0.019541660007308153,0.004055157444387609,0.013152881586376876,0.023576034764668515,10
Edge316,0.01948980935566184,0.010520591823649558,0.007097466485117973,0.058114878338223486,10
Edge270,0.019482879411533788,0.0030520420914732474,0.017324759752186284,0.021640999070881295,10
Edge265,0.018729529922380684,,0.018729529922380684,0.018729529922380684,10
Edge133,0.018707617043273776,0.005351908733454085,0.01312673957858572,0.02664447419162452,10
Edge318,0.018362299067014153,0.006765686333194192,0.005435007215740398,0.03195471716422351,10
Edge32,0.018222252540550984,,0.018222252540550984,0.018222252540550984,10
Edge24,0.018144817302995747,0.008255475854487314,0.007389167555793562,0.027468954490854007,10
Edge109,0.018047062324270727,,0.018047062324270727,0.018047062324270727,10
Edge317,0.01790933105940298,0.006017587993768588,0.008703265262358695,0.028584101395185597,10
Edge187,0.01735797328423594,,0.01735797328423594,0.01735797328423594,10
Edge59,0.017233989054563238,0.004502703821434304,0.014198585001763414,0.022407382996421,10
Edge123,0.017145167648970974,,0.017145167648970974,0.017145167648970974,10
Edge131,0.016943686657998596,0.007928318747919601,0.0029029990251511206,0.03254664538158314,10
Edge202,0.0167843591498012,0.005542422623804016,0.006081050238687825,0.025991203923060206,10
Edge103,0.01655009353351435,0.006039861980148109,0.009514586834581737,0.02468017038501823,10
Edge325,0.015926390296799157,,0.015926390296799157,0.015926390296799157,10
Edge231,0.015860143517880315,,0.015860143517880315,0.015860143517880315,10
Edge64,0.015522944615456303,0.0031521695782937066,0.010189201163049473,0.018524112945607896,10
Edge209,0.015227493757492477,0.002398791255575183,0.013531292194024271,0.01692369532096068,10
Edge98,0.014684466307675814,,0.014684466307675814,0.014684466307675814,10
Edge306,0.014631155733243778,0.010544145703064518,0.0071753188047878605,0.022086992661699695,10
Edge12,0.01395426675634018,,0.01395426675634018,0.01395426675634018,10
Edge60,0.013822192306305475,0.005038416740730271,0.005970127016616212,0.018269229145486336,10
Edge169,0.013345606707559713,0.009480666937520914,0.006451002879766322,0.0334616302263157,10
Edge185,0.012234947352884263,0.004767564123772133,0.005931537037303698,0.020675910310284346,10
Edge150,0.01129735048290306,0.0024902110203864586,0.009536505383802324,0.013058195582003797,10
Edge90,0.011293649105693,,0.011293649105693,0.011293649105693,10
Edge20,0.101009360048963,,0.101009360048963,0.101009360048963,11
Edge218,0.08018702432085509,0.019368550342637302,0.05818480120193507,0.10154058873576839,11
Edge4,0.05374386298054078,0.02016270250342282,0.02368497376676843,0.0967394241514213,11
Edge251,0.05046557766080447,0.020681231802445528,0.02920370490161174,0.10828100277563252,11
Edge247,0.05045000651929102,0.02839057660835354,0.030374837277728058,0.07052517576085397,11
Edge204,0.0501010596411322,0.018458609476391073,0.023788477150565465,0.11304580413848477,11
Edge6,0.04938953231377955,0.020322815179025257,0.024150830349313885,0.10189195340799614,11
Edge116,0.04853325220971394,0.016057702657951565,0.02120420629439427,0.09108116984695556,11
Edge134,0.04804946756679602,,0.04804946756679602,0.04804946756679602,11
Edge139,0.04774800092797035,0.019187916032545035,0.027502153911402018,0.08763734395391948,11
Edge74,0.04749918716058619,0.021884733959222656,0.023784062049785976,0.10795292123227522,11
Edge80,0.04735199477875565,0.018969008057603563,0.02199689986200518,0.0894659633107445,11
Edge323,0.04684188880987301,0.01371838467127735,0.02059534797909352,0.10108083703995424,11
Edge300,0.046652942833834116,0.016994078291602786,0.022740553671178516,0.06966358009736784,11
Edge117,0.04663844616835797,0.022468601964307534,0.015990601093133976,0.11618615382838099,11
Edge259,0.046375358502613775,0.014120029215792598,0.022711393072209807,0.07451928703001034,11
Edge149,0.04475364167384237,,0.04475364167384237,0.04475364167384237,11
Edge232,0.04464068116723529,0.0189000388211199,0.015471967323543192,0.08652835346086185,11
Edge268,0.04382662578867558,0.01981470273383294,0.023519724607993623,0.07102608750940963,11
Edge54,0.04361971203944513,0.02780424143897746,0.01238738839150389,0.10701400622922776,11
Edge112,0.04165141987578915,0.014453683717693407,0.01762601476549775,0.06312518858315157,11
Edge311,0.04145114386690776,0.005721648711779128,0.03510846275195158,0.046224065264208636,11
Edge260,0.04111778452723864,0.02039921779588359,0.014051803137539235,0.11985140866012024,11
Edge294,0.04071337568015832,,0.04071337568015832,0.04071337568015832,11
Edge201,0.040421010510605364,0.01717268677071715,0.012238124108853528,0.07944161532313089,11
Edge136,0.04028416344121672,0.014586117001415922,0.021454322071471625,0.07636591711726556,11
Edge280,0.04022200314017549,0.013689869801597098,0.027941672306336617,0.07638497638714693,11
Edge249,0.03887872107350499,0.017009163902589036,0.020563862629327252,0.054179124069950735,11
Edge153,0.03887534737510768,0.006933872509866615,0.03083603168417289,0.047680583407515936,11
Edge178,0.038615250934704845,0.014363646388015627,0.02173540685241573,0.06818335287599257,11
Edge135,0.03787601892583948,0.017246556586349333,0.014846488086557376,0.06569192825143365,11
Edge1,0.037865495011809254,0.015979612584888163,0.009554984853061266,0.06942341376944856,11
Edge203,0.037442071637195054,,0.037442071637195054,0.037442071637195054,11
Edge76,0.0372929678960502,0.019417684397738035,0.010182948069833301,0.08872956921342966,11
Edge41,0.036288188880895224,0.017429904727116818,0.018385258199466292,0.07672918854537053,11
Edge211,0.036155371476074095,,0.036155371476074095,0.036155371476074095,11
Edge301,0.03468671048331037,0.014053767436754126,0.016237756652785436,0.06391793040445616,11
Edge67,0.03436970106353328,,0.03436970106353328,0.03436970106353328,11
Edge130,0.03416560209129419,0.0009301175534408853,0.0335079096619555,0.03482329452063288,11
Edge68,0.0339340120077222,0.014761433247972338,0.013789628467769335,0.08997704650673466,11
Edge277,0.03347472625101183,,0.03347472625101183,0.03347472625101183,11
Edge34,0.03335005115370101,0.0008364676964123113,0.03219459098131922,0.034169021109503525,11
Edge238,0.03329169300386025,0.008823312615882496,0.01758624642626921,0.038705913916360725,11
Edge49,0.03275250250144872,0.010174949546868471,0.01912686881052791,0.05148887946379134,11
Edge39,0.032469337380668886,0.008859943178757261,0.016034899568424656,0.05090090356522323,11
Edge284,0.03212689886534672,0.012357339904709327,0.010768114298788567,0.05604723463885735,11
Edge79,0.03201762213305384,0.0073653188211935715,0.023344106386162453,0.04012456337830847,11
Edge194,0.03162020910817273,0.012710697190954573,0.022632388930839954,0.04060802928550551,11
Edge191,0.03103931186368151,0.012621854626349821,0.015485312106942156,0.052600747850442366,11
Edge10,0.030812804986729763,0.009214087976604078,0.021040606974558545,0.045174456133951976,11
Edge254,0.030510774482714685,0.01838931151202959,0.011820066981173914,0.05198688822241322,11
Edge197,0.0297017248422566,,0.0297017248422566,0.0297017248422566,11
Edge165,0.029688151329639343,0.007894981067742994,0.015520581455617724,0.04596330001121428,11
Edge227,0.029463958938198302,0.0040869455930850635,0.026574051994987375,0.032353865881409226,11
Edge65,0.029102228219664652,,0.029102228219664652,0.029102228219664652,11
Edge14,0.029051045884099187,0.014884552605007966,0.018526077802170162,0.03957601396602821,11
Edge233,0.029043471632118734,0.016595991840994567,0.017289821121028153,0.0480281464417943,11
Edge28,0.028659631854886302,0.004778211333357652,0.02256848595971387,0.033500208315127754,11
Edge265,0.02843866441035165,,0.02843866441035165,0.02843866441035165,11
Edge12,0.028182697160750544,,0.028182697160750544,0.028182697160750544,11
Edge21,0.0277310492132207,0.009195965289299146,0.012476733716245149,0.051806882837604235,11
Edge266,0.02766806183231369,0.00995691848364797,0.011124546616312141,0.050147943565554604,11
Edge40,0.027552184910855322,0.0008937501612947723,0.026920208111117217,0.028184161710593424,11
Edge237,0.027034907318974843,,0.027034907318974843,0.027034907318974843,11
Edge290,0.027008661412347847,0.009624566248906452,0.012419602986460512,0.042607715527469794,11
Edge52,0.026968905740206474,0.00638686721930272,0.02245270861889945,0.03148510286151349,11
Edge257,0.026739391931948128,0.013536439900058043,0.017167683485492934,0.03631110037840332,11
Edge111,0.026621263996732536,0.011218874071901088,0.018309147949658697,0.03938224389999374,11
Edge269,0.026335082322666563,0.00860292120558405,0.018238842466629823,0.03849591395072288,11
Edge171,0.025984498705833144,0.009557283442666166,0.009236618932160908,0.06093412386294432,11
Edge75,0.02590827189430291,0.011571752074716514,0.009814153872886878,0.05425295781274267,11
Edge5,0.02587452789050551,,0.02587452789050551,0.02587452789050551,11
Edge140,0.02568317862742218,0.006209995158160185,0.014310976716118287,0.03261695949701718,11
Edge315,0.02559360895699451,0.0036589723235828137,0.023006324814815203,0.028180893099173817,11
Edge89,0.025498359891006548,,0.025498359891006548,0.025498359891006548,11
Edge296,0.025477657413464642,0.008850934442121343,0.014280302581123474,0.04183804633681421,11
Edge152,0.02547666990607722,0.012377247472871371,0.011495080933475716,0.0669683049749382,11
Edge18,0.02531142694661028,0.006546447742103741,0.020445321149607655,0.03493166470170783,11
Edge114,0.02524241833381545,,0.02524241833381545,0.02524241833381545,11
Edge181,0.02515251296647009,,0.02515251296647009,0.02515251296647009,11
Edge168,0.02515032582834505,0.009299453784885581,0.00759867814679077,0.04431451467232918,11
Edge98,0.02504929369879935,,0.02504929369879935,0.02504929369879935,11
Edge164,0.024541856201752598,0.002248538427936103,0.02295189943160044,0.026131812971904755,11
Edge179,0.024150564657927413,0.006172603644532406,0.016394260511673798,0.03542841526956756,11
Edge97,0.02414161791436682,0.007733359578740277,0.014960285949596829,0.04482958002744919,11
Edge175,0.023815636496026193,0.008356883552839254,0.016010228088279642,0.04406692331125903,11
Edge320,0.023669886263375208,0.003691199223354491,0.020912988942706556,0.03067643349098059,11
Edge15,0.02361415621269743,,0.02361415621269743,0.02361415621269743,11
Edge11,0.023284800748443704,0.007529135996780645,0.016541147733794087,0.03353084397864044,11
Edge93,0.023197849200943046,,0.023197849200943046,0.023197849200943046,11
Edge206,0.02303943271889437,,0.02303943271889437,0.02303943271889437,11
Edge69,0.02288544878940762,0.007883688310558927,0.01307883923666107,0.0344317363607843,11
Edge58,0.022841598540627315,0.007805932264832131,0.01289277615113362,0.04193693984121253,11
Edge119,0.022830173835215243,,0.022830173835215243,0.022830173835215243,11
Edge231,0.02264764733210107,,0.02264764733210107,0.02264764733210107,11
Edge145,0.022578072376429927,,0.022578072376429927,0.022578072376429927,11
Edge170,0.022365825954051802,0.007561781404175749,0.011210401673133434,0.03311729521686574,11
Edge70,0.022363365171568186,0.008393998528536853,0.006507011154362498,0.0469066129160761,11
Edge321,0.022324826026701085,0.0024576211107457968,0.020587025473705514,0.024062626579696652,11
Edge126,0.022154165646789174,0.005994968037986899,0.017915083094132023,0.02639324819944632,11
Edge216,0.02206973122035625,0.007093479024838038,0.01282609235894642,0.03225548553598852,11
Edge32,0.02200685260317509,,0.02200685260317509,0.02200685260317509,11
Edge101,0.02197896218563587,0.009344988506396913,0.0072233399083248915,0.04532124626520139,11
Edge115,0.02184243863591646,0.0038885108526775713,0.014672325415361554,0.02669682150275773,11
Edge230,0.02174627708171485,0.005575066506882767,0.014105718136367029,0.03025116001155463,11
Edge306,0.021732761206786615,0.013971914468770245,0.011853125739760736,0.03161239667381249,11
Edge86,0.02157572332888236,0.012217919058174029,0.008260195801934031,0.0380716228945645,11
Edge22,0.02150862573045833,,0.02150862573045833,0.02150862573045833,11
Edge188,0.021451348608602462,0.009987280068151805,0.011330044808068249,0.038166032891694096,11
Edge258,0.0213114432044459,,0.0213114432044459,0.0213114432044459,11
Edge35,0.020940351213119882,,0.020940351213119882,0.020940351213119882,11
Edge224,0.020903063855743528,0.0014513597808258323,0.01987679751278016,0.021929330198706895,11
Edge147,0.020663378506020423,0.00938215447404614,0.01327476986616244,0.04421365521129007,11
Edge281,0.020406679105044553,0.0028937797579205587,0.018398490449117306,0.0237236385455914,11
Edge131,0.020289433477237856,0.007770296621122364,0.009412528304014308,0.03382144943182644,11
Edge316,0.020180199324865394,0.009630191182642026,0.0072979228359338205,0.04195861947385577,11
Edge318,0.020032326383381937,0.007815957692789133,0.008176103188346296,0.040845579268479856,11
Edge45,0.019932032112287328,0.005671404110373621,0.009183049743887855,0.02949028686061274,11
Edge244,0.01953199312527439,0.005867591126886207,0.010001691096231731,0.02867553074595859,11
Edge118,0.019509111899459843,,0.019509111899459843,0.019509111899459843,11
Edge187,0.019489868049923427,,0.019489868049923427,0.019489868049923427,11
Edge92,0.019346794109088458,,0.019346794109088458,0.019346794109088458,11
Edge7,0.019211588957153195,,0.019211588957153195,0.019211588957153195,11
Edge127,0.01918542395011074,0.005569382674704603,0.013220436108067392,0.02636221155157685,11
Edge132,0.01914895589489353,0.0023072596175788274,0.01673512451831728,0.022220898625080122,11
Edge109,0.018774217875294787,,0.018774217875294787,0.018774217875294787,11
Edge263,0.01862888130120259,0.008182758392290813,0.009682753369168493,0.027871624282820643,11
Edge305,0.018342519278772586,0.005669430488179037,0.010274499220228725,0.025918679235120506,11
Edge71,0.01785497918518985,,0.01785497918518985,0.01785497918518985,11
Edge156,0.017821581385908482,0.0077403125974764495,0.00672843776904428,0.028540227018873307,11
Edge59,0.017632549949543514,0.006237205668913865,0.012613191660787877,0.02461517737588887,11
Edge103,0.017417802477127858,0.010716367969809173,0.005200288457426662,0.033014645161718564,11
Edge24,0.01703568572502387,0.005431253667557931,0.00976178570571615,0.02165750858967943,11
Edge317,0.01677919616309829,0.006064632178999659,0.006942684596659354,0.03000182365345836,11
Edge270,0.016768900343208628,0.00029321550685263234,0.01656156566996408,0.016976235016453175,11
Edge163,0.01672958376025351,,0.01672958376025351,0.01672958376025351,11
Edge295,0.016573595939582592,0.004559544483262809,0.009542056289093676,0.023049419289552835,11
Edge48,0.016313887695779114,0.00788960200301193,0.006818878577950441,0.026567754373301895,11
Edge64,0.01608120949650823,0.004436111277137548,0.011752852928779147,0.023456770004133536,11
Edge202,0.015224228063546848,0.005629920684054012,0.00787403928547324,0.02727929821853191,11
Edge189,0.015061879249087362,,0.015061879249087362,0.015061879249087362,11
Edge209,0.0148287415547491,0.0032568019030714663,0.012525834844106012,0.017131648265392187,11
Edge60,0.014233179296826829,0.006441390200147996,0.005473500853367372,0.022199357816257467,11
